Date,SR ID,Route Name,Shop Name,Visit Start,Visit End,GPS Status,Product Category,SKU Name,Qty (Pcs),Unit Price,Total Val,Stock in Shop,Order Status,Payment Mode,Shop ID,Order ID,Distributor Name,Latitude,Longitude,Return Order,SR Daily Target
01-Mar-26,SR-48,Uttara-3,Brothers Store,13:23:44,13:42:07,Matched,Kitchenware,RFL Rice Container,11,3650,40150,5,Confirmed,Cash,SHOP-2682,ORD-474027,Gazipur Distributor,23.8759,90.3795,Yes,30000
17-Mar-26,SR-128,Narayanganj,Bismillah Store,16:06:37,16:31:05,Matched,Household,RFL Laundry Basket,13,4897,63661,43,Confirmed,Cash,SHOP-1192,ORD-879969,Dhaka North Depot,23.6238,90.5,No,30000
03-Mar-26,SR-45,Gazipur,Karim Store,14:19:30,14:32:00,Matched,Furniture,RFL Dining Table,7,573,4011,27,Confirmed,bKash,SHOP-8728,ORD-306222,Chittagong Depot,24.0023,90.4264,No,50000
22-Mar-26,SR-33,Uttara-3,Maa Enterprise,11:20:10,11:37:17,Matched,Kitchenware,RFL Food Carrier,5,2587,12935,19,Confirmed,Nagad,SHOP-4846,ORD-141691,Dhaka North Depot,23.8759,90.3795,No,60000
30-Mar-26,SR-115,Uttara-10,New Market Traders,09:58:46,10:06:37,Matched,Kitchenware,RFL Food Carrier,14,1410,19740,40,Confirmed,Nagad,SHOP-4351,ORD-323368,Dhaka South Depot,23.8738,90.3984,No,30000
21-Mar-26,SR-111,Mirpur-10,Rahman Traders,12:53:07,13:14:04,Matched,Household,RFL Dustbin,3,4886,14658,24,Confirmed,Nagad,SHOP-1269,ORD-766942,Dhaka South Depot,23.8067,90.3687,Yes,30000
23-Mar-26,SR-108,Uttara-3,Azad Store,11:13:27,11:38:40,Matched,Kitchenware,RFL Rice Container,24,3992,95808,51,Confirmed,Credit,SHOP-1697,ORD-852052,Chittagong Depot,23.8759,90.3795,No,60000
21-Mar-26,SR-43,Savar,Maa Enterprise,15:42:31,15:48:05,Matched,Household,RFL Laundry Basket,15,5695,85425,59,Cancelled,bKash,SHOP-5003,ORD-451967,Narayanganj Hub,23.8583,90.2667,No,60000
26-Mar-26,SR-1,Uttara-10,Green Valley Shop,14:17:34,14:34:12,Matched,Kitchenware,RFL Spice Box,5,443,2215,22,Cancelled,Credit,SHOP-8437,ORD-556980,Chittagong Depot,23.8738,90.3984,No,40000
07-Mar-26,SR-114,Uttara-3,Hasan Traders,13:07:59,13:22:25,Matched,Kitchenware,RFL Spice Box,17,1467,24939,21,Pending,Nagad,SHOP-4704,ORD-886351,Dhaka North Depot,23.8759,90.3795,No,30000
09-Mar-26,SR-46,Mohammadpur,Rahman Traders,14:23:49,14:37:16,Matched,Furniture,RFL Dining Table,16,639,10224,27,Confirmed,Credit,SHOP-5519,ORD-392561,Gazipur Distributor,23.757,90.358,No,40000
15-Mar-26,SR-147,Uttara-10,Al Madina Shop,11:20:54,11:39:03,Not Matched,Household,RFL Dustbin,7,3458,24206,10,Pending,bKash,SHOP-7269,ORD-979008,Gazipur Distributor,23.8738,90.3984,No,50000
05-Mar-26,SR-50,Mohammadpur,Green Valley Shop,10:44:30,11:05:24,Matched,Household,RFL Mop Set,3,4282,12846,37,Pending,bKash,SHOP-2849,ORD-115540,Dhaka South Depot,23.757,90.358,No,50000
12-Mar-26,SR-100,Chittagong,New Market Traders,15:25:53,15:44:15,Not Matched,Household,RFL Dustbin,17,1662,28254,14,Confirmed,Credit,SHOP-5440,ORD-958917,Gazipur Distributor,22.3569,91.7832,No,40000
21-Mar-26,SR-63,Mirpur-1,Sadia Store,14:22:16,14:31:35,Matched,Furniture,RFL Plastic Table,19,5555,105545,19,Confirmed,Cash,SHOP-9937,ORD-865054,Dhaka North Depot,23.8041,90.3556,Yes,60000
22-Mar-26,SR-141,Mohammadpur,Azad Store,15:38:43,15:54:08,Matched,Kitchenware,RFL Food Carrier,10,5457,54570,39,Confirmed,Nagad,SHOP-8533,ORD-927975,Gazipur Distributor,23.757,90.358,No,50000
26-Mar-26,SR-38,Gazipur,Tanzim Traders,09:18:41,09:32:56,Matched,Kitchenware,RFL Food Carrier,1,1671,1671,39,Confirmed,bKash,SHOP-3732,ORD-376588,Dhaka North Depot,24.0023,90.4264,No,60000
15-Mar-26,SR-4,Savar,Al Madina Shop,16:55:10,17:05:36,Matched,Furniture,RFL Wardrobe,5,2866,14330,28,Cancelled,Nagad,SHOP-8749,ORD-512687,Dhaka South Depot,23.8583,90.2667,No,50000
15-Mar-26,SR-143,Mohammadpur,Tanzim Traders,11:29:04,11:37:46,Matched,Household,RFL Dustbin,23,5880,135240,43,Confirmed,bKash,SHOP-7279,ORD-714188,Dhaka North Depot,23.757,90.358,No,60000
21-Mar-26,SR-112,Uttara-10,Al Madina Shop,12:35:39,12:52:35,Matched,Kitchenware,RFL Rice Container,24,1364,32736,14,Pending,Credit,SHOP-8184,ORD-967325,Narayanganj Hub,23.8738,90.3984,No,30000
07-Mar-26,SR-95,Dhanmondi,Tanzim Traders,10:55:54,11:20:52,Matched,Household,RFL Mop Set,24,3802,91248,7,Confirmed,Nagad,SHOP-1957,ORD-814033,Gazipur Distributor,23.7461,90.3742,No,60000
05-Mar-26,SR-51,Uttara-3,Omar Store,15:54:55,16:14:03,Matched,Kitchenware,RFL Spice Box,10,3139,31390,59,Confirmed,Nagad,SHOP-1189,ORD-321578,Gazipur Distributor,23.8759,90.3795,No,60000
12-Mar-26,SR-17,Dhanmondi,Amin Variety,12:44:45,12:56:51,Matched,Furniture,RFL Plastic Table,8,153,1224,13,Confirmed,Nagad,SHOP-9287,ORD-889923,Chittagong Depot,23.7461,90.3742,No,60000
04-Mar-26,SR-34,Uttara-3,Hasan Traders,13:07:43,13:21:26,Matched,Electronics,Vision LED TV 43,9,2553,22977,5,Confirmed,Credit,SHOP-5884,ORD-119672,Chittagong Depot,23.8759,90.3795,Yes,40000
19-Mar-26,SR-66,Savar,Al Madina Shop,14:43:10,15:01:23,Matched,Furniture,RFL Plastic Table,14,2993,41902,42,Cancelled,Credit,SHOP-3782,ORD-197055,Dhaka North Depot,23.8583,90.2667,No,30000
26-Mar-26,SR-64,Mirpur-10,Al Madina Shop,16:07:44,16:24:06,Weak,Electronics,Vision LED TV 43,19,4281,81339,41,Pending,bKash,SHOP-4355,ORD-843833,Dhaka North Depot,23.8067,90.3687,No,60000
01-Mar-26,SR-129,Mohammadpur,Omar Store,10:44:21,10:59:51,Matched,Kitchenware,RFL Rice Container,10,3859,38590,21,Cancelled,bKash,SHOP-9142,ORD-422828,Chittagong Depot,23.757,90.358,No,50000
30-Mar-26,SR-27,Savar,Green Valley Shop,12:45:37,13:05:13,Matched,Furniture,RFL Plastic Table,23,5490,126270,46,Cancelled,Nagad,SHOP-1011,ORD-253634,Dhaka South Depot,23.8583,90.2667,No,30000
19-Mar-26,SR-24,Savar,City General Store,14:18:26,14:34:00,Matched,Kitchenware,RFL Rice Container,17,5405,91885,10,Confirmed,Nagad,SHOP-6411,ORD-673518,Chittagong Depot,23.8583,90.2667,No,50000
22-Mar-26,SR-88,Chittagong,Maa Enterprise,12:50:20,12:57:48,Matched,Household,RFL Laundry Basket,4,2735,10940,33,Cancelled,Cash,SHOP-9611,ORD-614558,Narayanganj Hub,22.3569,91.7832,No,30000
14-Mar-26,SR-127,Mirpur-1,New Market Traders,11:11:54,11:32:40,Matched,Kitchenware,RFL Spice Box,14,5347,74858,21,Confirmed,Nagad,SHOP-3045,ORD-876502,Gazipur Distributor,23.8041,90.3556,No,40000
25-Mar-26,SR-2,Dhanmondi,Green Valley Shop,09:20:19,09:35:40,Matched,Plastics,RFL 20L Bucket,18,4450,80100,23,Confirmed,Cash,SHOP-8257,ORD-446915,Narayanganj Hub,23.7461,90.3742,No,60000
06-Mar-26,SR-72,Chittagong,Maa Enterprise,09:27:08,09:52:18,Matched,Kitchenware,RFL Food Carrier,25,5630,140750,30,Confirmed,Credit,SHOP-5839,ORD-849673,Gazipur Distributor,22.3569,91.7832,No,40000
17-Mar-26,SR-78,Mirpur-1,Al Madina Shop,15:27:37,15:38:42,Matched,Kitchenware,RFL Food Carrier,5,1623,8115,38,Confirmed,Credit,SHOP-9162,ORD-233702,Gazipur Distributor,23.8041,90.3556,No,30000
24-Mar-26,SR-25,Savar,Al Madina Shop,10:53:57,11:14:17,Not Matched,Household,RFL Mop Set,24,1154,27696,12,Confirmed,bKash,SHOP-7033,ORD-215148,Dhaka North Depot,23.8583,90.2667,No,60000
19-Mar-26,SR-17,Mirpur-1,Tanzim Traders,10:02:06,10:27:59,Not Matched,Household,RFL Laundry Basket,22,1262,27764,19,Confirmed,bKash,SHOP-6507,ORD-449025,Dhaka North Depot,23.8041,90.3556,No,50000
29-Mar-26,SR-99,Mirpur-10,Tanzim Traders,13:19:53,13:40:11,Matched,Plastics,RFL Storage Box,5,1201,6005,44,Pending,Cash,SHOP-9228,ORD-118985,Narayanganj Hub,23.8067,90.3687,No,60000
09-Mar-26,SR-79,Savar,Green Valley Shop,13:08:29,13:24:04,Matched,Furniture,RFL Plastic Table,1,4817,4817,28,Confirmed,bKash,SHOP-3539,ORD-848033,Narayanganj Hub,23.8583,90.2667,No,50000
21-Mar-26,SR-108,Mohammadpur,Amin Variety,09:53:48,10:14:22,Matched,Plastics,RFL Storage Box,3,1267,3801,47,Confirmed,Cash,SHOP-6448,ORD-558574,Narayanganj Hub,23.757,90.358,No,30000
11-Mar-26,SR-93,Uttara-3,Tanzim Traders,16:45:03,16:58:33,Matched,Plastics,RFL 20L Bucket,25,2233,55825,39,Confirmed,Credit,SHOP-9621,ORD-428545,Narayanganj Hub,23.8759,90.3795,No,60000
20-Mar-26,SR-95,Dhanmondi,New Market Traders,15:02:15,15:12:23,Matched,Household,RFL Laundry Basket,3,3253,9759,8,Confirmed,Cash,SHOP-9148,ORD-467252,Dhaka North Depot,23.7461,90.3742,No,50000
11-Mar-26,SR-22,Gazipur,Maa Enterprise,13:40:00,13:58:51,Matched,Electronics,Vision LED TV 32,18,5004,90072,57,Pending,bKash,SHOP-9761,ORD-550030,Dhaka South Depot,24.0023,90.4264,No,60000
11-Mar-26,SR-23,Gazipur,Rahman Traders,12:51:56,13:01:05,Not Matched,Household,RFL Dustbin,2,5803,11606,42,Confirmed,Cash,SHOP-8420,ORD-761654,Gazipur Distributor,24.0023,90.4264,No,40000
13-Mar-26,SR-16,Dhanmondi,Tanzim Traders,10:20:06,10:38:31,Matched,Electronics,Vision LED TV 32,24,2449,58776,55,Cancelled,Cash,SHOP-4261,ORD-746795,Narayanganj Hub,23.7461,90.3742,No,60000
17-Mar-26,SR-145,Uttara-10,Omar Store,13:27:56,13:38:18,Matched,Household,RFL Laundry Basket,24,2967,71208,49,Pending,Nagad,SHOP-7288,ORD-646047,Narayanganj Hub,23.8738,90.3984,No,30000
17-Mar-26,SR-43,Mirpur-10,Sadia Store,16:15:20,16:29:01,Matched,Furniture,RFL Wardrobe,3,2853,8559,5,Confirmed,bKash,SHOP-5420,ORD-624784,Narayanganj Hub,23.8067,90.3687,No,30000
14-Mar-26,SR-129,Dhanmondi,Rahman Traders,13:42:35,14:03:26,Matched,Furniture,RFL Dining Table,16,3222,51552,6,Confirmed,Cash,SHOP-7440,ORD-976172,Dhaka North Depot,23.7461,90.3742,No,30000
01-Mar-26,SR-140,Mirpur-1,Amin Variety,09:54:34,10:19:42,Matched,Plastics,RFL Plastic Chair,18,2545,45810,16,Pending,Cash,SHOP-2616,ORD-269217,Dhaka North Depot,23.8041,90.3556,No,30000
12-Mar-26,SR-78,Uttara-3,Omar Store,10:30:29,10:50:17,Not Matched,Furniture,RFL Plastic Table,19,4226,80294,23,Pending,Cash,SHOP-2251,ORD-161528,Narayanganj Hub,23.8759,90.3795,No,50000
23-Mar-26,SR-115,Narayanganj,City General Store,13:41:52,13:53:24,Matched,Kitchenware,RFL Food Carrier,21,683,14343,24,Pending,Cash,SHOP-1606,ORD-233306,Chittagong Depot,23.6238,90.5,No,50000
20-Mar-26,SR-51,Uttara-3,Amin Variety,11:41:03,11:48:36,Matched,Plastics,RFL Plastic Chair,25,2609,65225,52,Pending,Nagad,SHOP-6075,ORD-874600,Gazipur Distributor,23.8759,90.3795,No,40000
22-Mar-26,SR-31,Mirpur-10,Sadia Store,16:50:34,17:03:49,Matched,Furniture,RFL Wardrobe,5,823,4115,36,Confirmed,bKash,SHOP-9276,ORD-861419,Dhaka North Depot,23.8067,90.3687,No,40000
06-Mar-26,SR-139,Mohammadpur,Bismillah Store,09:12:47,09:20:14,Matched,Electronics,Vision LED TV 43,1,1372,1372,21,Confirmed,Credit,SHOP-2583,ORD-488810,Dhaka South Depot,23.757,90.358,No,50000
02-Mar-26,SR-80,Mirpur-10,Hasan Traders,10:50:53,11:07:49,Matched,Furniture,RFL Wardrobe,3,4272,12816,44,Confirmed,Nagad,SHOP-1239,ORD-979941,Dhaka North Depot,23.8067,90.3687,Yes,50000
16-Mar-26,SR-31,Chittagong,Azad Store,16:27:14,16:48:54,Matched,Furniture,RFL Dining Table,8,1550,12400,10,Cancelled,Credit,SHOP-9618,ORD-826755,Dhaka South Depot,22.3569,91.7832,No,50000
01-Mar-26,SR-15,Savar,Brothers Store,14:26:39,14:40:02,Matched,Electronics,Vision Fan,18,5437,97866,16,Pending,Cash,SHOP-3281,ORD-825612,Narayanganj Hub,23.8583,90.2667,No,60000
24-Mar-26,SR-78,Savar,Brothers Store,14:11:08,14:33:24,Weak,Plastics,RFL Storage Box,21,3210,67410,49,Confirmed,Cash,SHOP-4693,ORD-985831,Dhaka North Depot,23.8583,90.2667,No,50000
29-Mar-26,SR-109,Dhanmondi,Bismillah Store,12:04:01,12:21:50,Matched,Household,RFL Dustbin,12,3870,46440,5,Confirmed,bKash,SHOP-1989,ORD-513847,Dhaka North Depot,23.7461,90.3742,No,50000
29-Mar-26,SR-55,Mirpur-1,Maa Enterprise,11:23:01,11:39:47,Matched,Kitchenware,RFL Spice Box,10,383,3830,32,Confirmed,Cash,SHOP-1736,ORD-383517,Gazipur Distributor,23.8041,90.3556,No,60000
24-Mar-26,SR-74,Uttara-3,Amin Variety,11:53:50,12:13:24,Matched,Furniture,RFL Wardrobe,2,1703,3406,21,Confirmed,bKash,SHOP-9509,ORD-412722,Dhaka South Depot,23.8759,90.3795,No,60000
23-Mar-26,SR-23,Dhanmondi,Al Madina Shop,09:47:16,10:13:13,Matched,Furniture,RFL Wardrobe,9,4598,41382,21,Pending,Nagad,SHOP-5573,ORD-348525,Narayanganj Hub,23.7461,90.3742,No,30000
05-Mar-26,SR-102,Uttara-3,Karim Store,14:47:10,15:11:00,Matched,Electronics,Vision LED TV 43,13,3717,48321,60,Pending,Cash,SHOP-2007,ORD-929044,Gazipur Distributor,23.8759,90.3795,No,40000
28-Mar-26,SR-29,Uttara-10,Al Madina Shop,11:51:34,12:04:54,Matched,Household,RFL Mop Set,20,1802,36040,56,Cancelled,Cash,SHOP-5157,ORD-339507,Narayanganj Hub,23.8738,90.3984,No,40000
01-Mar-26,SR-42,Uttara-3,City General Store,14:57:00,15:21:07,Matched,Household,RFL Mop Set,3,2839,8517,14,Confirmed,Nagad,SHOP-9809,ORD-922477,Chittagong Depot,23.8759,90.3795,No,30000
12-Mar-26,SR-20,Uttara-10,Maa Enterprise,13:18:18,13:38:02,Matched,Plastics,RFL Plastic Chair,16,3396,54336,10,Confirmed,Nagad,SHOP-4936,ORD-446223,Gazipur Distributor,23.8738,90.3984,No,50000
24-Mar-26,SR-87,Mirpur-1,Brothers Store,12:27:49,12:45:26,Matched,Electronics,Vision Fan,15,3190,47850,29,Pending,bKash,SHOP-1274,ORD-740658,Narayanganj Hub,23.8041,90.3556,No,40000
24-Mar-26,SR-123,Uttara-3,Karim Store,14:34:38,14:44:40,Weak,Household,RFL Mop Set,15,1501,22515,6,Pending,bKash,SHOP-8587,ORD-708557,Chittagong Depot,23.8759,90.3795,No,30000
14-Mar-26,SR-123,Mirpur-1,Al Madina Shop,15:11:28,15:18:03,Matched,Kitchenware,RFL Rice Container,24,3003,72072,56,Confirmed,Cash,SHOP-8364,ORD-538967,Chittagong Depot,23.8041,90.3556,No,40000
21-Mar-26,SR-33,Mirpur-10,Tanzim Traders,14:18:37,14:32:59,Matched,Kitchenware,RFL Spice Box,4,2985,11940,36,Pending,Cash,SHOP-1087,ORD-448773,Narayanganj Hub,23.8067,90.3687,No,30000
16-Mar-26,SR-122,Mirpur-10,Sadia Store,11:22:57,11:28:53,Matched,Plastics,RFL Water Jug,21,4586,96306,7,Confirmed,Nagad,SHOP-2050,ORD-851810,Chittagong Depot,23.8067,90.3687,No,50000
14-Mar-26,SR-94,Savar,Sadia Store,09:29:06,09:54:47,Weak,Plastics,RFL 20L Bucket,17,2238,38046,11,Confirmed,Nagad,SHOP-6425,ORD-301803,Dhaka South Depot,23.8583,90.2667,No,60000
03-Mar-26,SR-46,Gazipur,Karim Store,09:55:31,10:07:49,Matched,Electronics,Vision LED TV 43,4,4748,18992,32,Confirmed,bKash,SHOP-3115,ORD-413985,Dhaka North Depot,24.0023,90.4264,No,40000
18-Mar-26,SR-64,Mohammadpur,Green Valley Shop,10:57:18,11:05:15,Matched,Kitchenware,RFL Spice Box,11,491,5401,26,Confirmed,bKash,SHOP-3535,ORD-764014,Dhaka South Depot,23.757,90.358,No,50000
16-Mar-26,SR-101,Mirpur-1,Amin Variety,09:02:19,09:16:51,Matched,Kitchenware,RFL Food Carrier,19,1796,34124,18,Confirmed,Nagad,SHOP-8017,ORD-613900,Gazipur Distributor,23.8041,90.3556,No,40000
07-Mar-26,SR-75,Chittagong,Karim Store,15:59:42,16:24:35,Matched,Plastics,RFL Plastic Chair,15,1856,27840,19,Confirmed,Credit,SHOP-1514,ORD-545147,Dhaka North Depot,22.3569,91.7832,Yes,30000
28-Mar-26,SR-68,Mohammadpur,Sadia Store,11:21:52,11:47:20,Matched,Kitchenware,RFL Food Carrier,12,5799,69588,24,Pending,Credit,SHOP-2326,ORD-687766,Chittagong Depot,23.757,90.358,No,60000
16-Mar-26,SR-128,Mohammadpur,Bismillah Store,16:49:43,17:12:50,Matched,Furniture,RFL Dining Table,9,3752,33768,23,Confirmed,Nagad,SHOP-9617,ORD-422111,Narayanganj Hub,23.757,90.358,Yes,40000
28-Mar-26,SR-57,Mohammadpur,Al Madina Shop,10:23:48,10:34:27,Matched,Household,RFL Mop Set,14,181,2534,22,Confirmed,Credit,SHOP-6460,ORD-748193,Dhaka South Depot,23.757,90.358,No,40000
28-Mar-26,SR-66,Uttara-10,Al Madina Shop,16:01:06,16:17:48,Matched,Electronics,Vision LED TV 43,18,4655,83790,49,Cancelled,Nagad,SHOP-7667,ORD-503930,Gazipur Distributor,23.8738,90.3984,No,30000
25-Mar-26,SR-13,Dhanmondi,Maa Enterprise,15:39:54,16:03:39,Matched,Electronics,Vision Fan,21,5383,113043,53,Confirmed,Nagad,SHOP-5270,ORD-410116,Gazipur Distributor,23.7461,90.3742,No,30000
23-Mar-26,SR-52,Savar,City General Store,09:19:36,09:28:16,Matched,Household,RFL Laundry Basket,25,5640,141000,20,Confirmed,bKash,SHOP-2893,ORD-637262,Dhaka North Depot,23.8583,90.2667,No,60000
23-Mar-26,SR-52,Mirpur-1,Tanzim Traders,14:00:10,14:22:58,Matched,Furniture,RFL Dining Table,8,5698,45584,48,Pending,Nagad,SHOP-3083,ORD-608293,Narayanganj Hub,23.8041,90.3556,No,30000
10-Mar-26,SR-68,Mirpur-1,Omar Store,09:36:40,09:43:25,Matched,Plastics,RFL 20L Bucket,19,5464,103816,36,Confirmed,Cash,SHOP-5399,ORD-151618,Narayanganj Hub,23.8041,90.3556,No,40000
22-Mar-26,SR-60,Gazipur,Bismillah Store,15:56:39,16:08:13,Not Matched,Plastics,RFL Water Jug,15,1848,27720,17,Pending,Cash,SHOP-8837,ORD-991851,Narayanganj Hub,24.0023,90.4264,No,60000
26-Mar-26,SR-8,Uttara-10,Sadia Store,15:24:09,15:48:22,Not Matched,Electronics,Vision Fan,25,1439,35975,3,Confirmed,Credit,SHOP-2567,ORD-895339,Gazipur Distributor,23.8738,90.3984,No,50000
27-Mar-26,SR-75,Mirpur-1,New Market Traders,11:17:53,11:42:25,Weak,Kitchenware,RFL Spice Box,23,2511,57753,33,Confirmed,Cash,SHOP-6750,ORD-601148,Chittagong Depot,23.8041,90.3556,No,50000
25-Mar-26,SR-9,Mirpur-1,City General Store,16:56:47,17:15:59,Matched,Plastics,RFL Water Jug,18,4305,77490,1,Cancelled,bKash,SHOP-2948,ORD-827591,Gazipur Distributor,23.8041,90.3556,No,60000
11-Mar-26,SR-130,Mohammadpur,Karim Store,11:29:40,11:38:34,Matched,Kitchenware,RFL Spice Box,3,2685,8055,18,Pending,Nagad,SHOP-4560,ORD-833886,Narayanganj Hub,23.757,90.358,No,30000
31-Mar-26,SR-59,Savar,Omar Store,15:29:25,15:35:32,Matched,Household,RFL Mop Set,13,4185,54405,50,Pending,Cash,SHOP-9869,ORD-172027,Gazipur Distributor,23.8583,90.2667,No,60000
22-Mar-26,SR-147,Mohammadpur,Green Valley Shop,09:51:21,10:14:58,Matched,Electronics,Vision LED TV 32,17,261,4437,35,Cancelled,Nagad,SHOP-9565,ORD-151162,Narayanganj Hub,23.757,90.358,No,60000
